# Image list with two lines of data per image:
#   IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
#   POINTS2D[] as (X, Y, POINT3D_ID)
# Number of images: 702
0 1.0 0.0 0.0 0.0 0.0 0.0 0.0 0 000002_9223372199154788468_1768981867461490118_cam0_p+0_y+30_r+0.jpg

88 0.821698718882324 -0.4589690744673179 -0.2785846274086758 0.19117847536093172 1.6421643842354408 -0.015847384692245003 0.8405121380580522 88 000107_9223372204354786137_1768981872706909564_cam0_p+30_y+0_r+0.jpg

89 0.8746010145905083 -0.46620362376181346 0.13082764777342287 -0.024725958963817032 1.6331901587004005 -0.018387545086057777 0.8371217295950149 89 000107_9223372204354786137_1768981872706909564_cam0_p-30_y+0_r+0.jpg

90 0.9412788361606703 -0.27290301750600604 -0.166241198916131 0.10900440089766113 1.6475547216315787 -0.012858859681620954 0.8512303813695594 90 000110_9223372204504785971_1768981872857819615_cam0_p+0_y+30_r+0.jpg

91 0.785736462136594 -0.4582452969156152 -0.3802517021140438 0.1674458209784911 1.64485976576966 -0.00866281049014539 0.8525787871299271 91 000110_9223372204504785971_1768981872857819615_cam0_p+30_y+0_r+0.jpg

92 0.8873024500770902 -0.45939491177399694 0.022402551506286943 -0.03389399370629611 1.6386122854203526 -0.011098233636349375 0.8497711134172047 92 000110_9223372204504785971_1768981872857819615_cam0_p-30_y+0_r+0.jpg

93 0.90747496321097 -0.25878401857585254 -0.31370179889505645 0.10540969711078307 1.649132001217257 0.00649396381199327 0.8821945916660046 93 000116_9223372204854786513_1768981873161600510_cam0_p+0_y+30_r+0.jpg

94 0.7276561402407811 -0.43424064945372126 -0.5164180431043087 0.12354758066516562 1.6529266540096188 0.006916331112418073 0.8815236017229756 94 000116_9223372204854786513_1768981873161600510_cam0_p+30_y+0_r+0.jpg

95 0.8855004707593931 -0.4448565621784463 -0.11964946344258415 -0.06062640736155418 1.643585260930988 0.0069415858852047985 0.8827239556750308 95 000116_9223372204854786513_1768981873161600510_cam0_p-30_y+0_r+0.jpg

96 0.8433637068391946 -0.22976529190974362 -0.465030709828596 0.14032821361506478 1.6591011983234019 0.024043350833263755 0.9203886605009786 96 000122_9223372205104788346_1768981873458244017_cam0_p+0_y+30_r+0.jpg

97 -0.6345393422713621 0.37406283285887065 0.6652870559919993 -0.12177829573828786 1.6632845157474474 0.0243852367534676 0.9209108912956421 97 000122_9223372205104788346_1768981873458244017_cam0_p+30_y+0_r+0.jpg

98 0.8613525553742889 -0.41890050742342677 -0.283720116746535 -0.04579340109568816 1.6492977538535034 0.02155801036035246 0.9166449758102226 98 000122_9223372205104788346_1768981873458244017_cam0_p-30_y+0_r+0.jpg

99 0.764443558229386 -0.17329008432909293 -0.5918776223296296 0.1878229835250085 1.6688671115551352 0.04580603987154322 0.9596313472421356 99 000128_9223372205404788638_1768981873758791875_cam0_p+0_y+30_r+0.jpg

100 -0.5387179410297462 0.2886438666292045 0.7798545468386645 -0.1352574731579517 1.6713756718947277 0.04801889573070256 0.9702642953041397 100 000128_9223372205404788638_1768981873758791875_cam0_p+30_y+0_r+0.jpg

101 0.820756781541911 -0.3706060894507498 -0.43414732966561037 -0.022924400956328257 1.659596193285979 0.03956693090639335 0.9599385222749786 101 000128_9223372205404788638_1768981873758791875_cam0_p-30_y+0_r+0.jpg

102 0.7041880004598033 -0.229507263659733 -0.646463077917747 0.18311516820012153 1.6447957850071917 0.06794593147277472 1.0134486815122252 102 000134_9223372205704787513_1768981874057906692_cam0_p+0_y+30_r+0.jpg

103 -0.4682348023934505 0.33347161900128236 0.8028558227824151 -0.1580359989768199 1.6551955474009334 0.07759371632520287 1.024755085451534 103 000134_9223372205704787513_1768981874057906692_cam0_p+30_y+0_r+0.jpg

104 0.7661771198718903 -0.40266896969858473 -0.4976794434484767 -0.05608469840794096 1.6362573722874327 0.06042140083451486 1.0048827489487886 104 000134_9223372205704787513_1768981874057906692_cam0_p-30_y+0_r+0.jpg

105 0.737992554689598 -0.3128400102107478 -0.5790280630770229 0.14907923867303188 1.6175696506717265 0.08211033246211413 1.0471998454330569 105 000137_9223372205854788596_1768981874207237955_cam0_p+0_y+30_r+0.jpg

106 -0.5124161716376109 0.4311836902363206 0.7223376076361172 -0.17244904439565334 1.6358514545887743 0.091460875009995 1.0463296241733522 106 000137_9223372205854788596_1768981874207237955_cam0_p+30_y+0_r+0.jpg

107 0.7704379923315026 -0.4682557990365447 -0.4244608848300193 -0.08363470505817466 1.6155499737973595 0.07715406039533224 1.0334826357905442 107 000137_9223372205854788596_1768981874207237955_cam0_p-30_y+0_r+0.jpg

108 0.7743709013614034 -0.3749197246206408 -0.4910139200718174 0.13671224345616476 1.584734914828736 0.08694534889081179 1.0970639518704794 108 000143_9223372206204785805_1768981874509834579_cam0_p+0_y+30_r+0.jpg

